Female,Male,Nation
28,7,Afghanistan
12,1,Albania
3,5,Algeria
30,6,Angola
5,7,Armenia
11,10,Azerbaijan
59,4,Bangladesh
29,9,Barbados
5,1,Belarus
34,22,Belize
31,5,Benin
26,10,Bhutan
20,8,Bolivia (Plurinational State of)
4,9,Bosnia and Herzegovina
26,15,Brazil
52,4,Burkina Faso
19,1,Burundi
18,3,Cabo Verde
19,4,Cambodia
31,4,Cameroon
68,28,Central African Republic
67,8,Chad
23,7,Colombia
32,12,Comoros
27,6,Congo
21,10,Costa Rica
27,4,C̫te d'Ivoire
26,11,Cuba
0,2,Democratic People's Republic of Korea
37,6,Democratic Republic of the Congo
5,2,Djibouti
36,8,Dominican Republic
20,20,Ecuador
17,9,Egypt
26,12,El Salvador
30,4,Equatorial Guinea
41,2,Eritrea
5,1,Eswatini
40,5,Ethiopia
22,5,Gabon
26,7,Gambia
14,1,Georgia
21,2,Ghana
30,10,Guatemala
47,2,Guinea
24,2,Guinea-Bissau
30,9,Guyana
15,2,Haiti
34,12,Honduras
27,4,India
16,5,Indonesia
17,20,Iran (Islamic Republic of)
28,25,Iraq
8,11,Jamaica
10,11,Jordan
7,15,Kazakhstan
23,3,Kenya
20,5,Kiribati
13,0,Kyrgyzstan
33,11,Lao People's Democratic Republic
6,9,Lebanon
16,2,Lesotho
40,13,Madagascar
42,7,Malawi
2,2,Maldives
54,2,Mali
26,12,Marshall Islands
37,2,Mauritania
26,30,Mexico
12,2,Mongolia
6,11,Montenegro
14,10,Morocco
53,10,Mozambique
16,5,Myanmar
7,1,Namibia
27,12,Nauru
40,10,Nepal
35,19,Nicaragua
76,6,Niger
43,3,Nigeria
7,10,North Macedonia
4,9,Oman
18,5,Pakistan
26,27,Panama
27,4,Papua New Guinea
22,30,Paraguay
17,20,Peru
17,3,Philippines
4,1,Qatar
7,1,Rwanda
24,30,Saint Lucia
11,2,Samoa
35,3,Sao Tome and Principe
29,1,Senegal
3,1,Serbia
30,7,Sierra Leone
0,5,Singapore
21,4,Solomon Islands
45,20,Somalia
4,1,South Africa
52,33,South Sudan
10,25,Sri Lanka
15,15,State of Palestine
34,39,Sudan
36,20,Suriname
13,17,Syrian Arab Republic
9,15,Tajikistan
23,10,Thailand
15,1,Timor-Leste
25,3,Togo
6,6,Tonga
11,15,Trinidad and Tobago
2,0,Tunisia
15,20,Turkey
6,9,Turkmenistan
10,13,Tuvalu
34,6,Uganda
9,4,Ukraine
31,4,United Republic of Tanzania
25,30,Uruguay
7,1,Uzbekistan
21,5,Vanuatu
11,3,Viet Nam
32,19,Yemen
29,3,Zambia
34,2,Zimbabwe